Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
244791,450 E Waterside Dr,60601,Residential,"> 250,000 Sq Ft",2019,LOOP,32,42,41.88716277,-87.61536682,"(41.88716277, -87.61536682)"
173874,5400 5406 N KENMORE AVE,60640,Residential,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,48,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
244931,130 S Canal St,60606,Residential,"> 250,000 Sq Ft",2019,NEAR WEST SIDE,28,42,41.87963192,-87.64039396,"(41.87963192, -87.64039396)"
251376,8300 S St Louis Ave,60652,Municipal,"50,000 - 250,000 Sq Ft",2019,ASHBURN,70,18,41.7418994,-87.70981348,"(41.7418994, -87.70981348)"
251417,2745 W Roosevelt Rd,60608,Municipal,"50,000 - 250,000 Sq Ft",2019,NORTH LAWNDALE,29,28,41.86604466,-87.69546821,"(41.86604466, -87.69546821)"
254996,1521 W NORTH AVE,60642,Commercial,"50,000 - 250,000 Sq Ft",2021,West Town,24,2,41.91062948,-87.66609288,"(41.91062948, -87.66609288)"
130684,7431 7445 S EAST END AVE,60649,Commercial,"50,000 - 250,000 Sq Ft",2019,SOUTH SHORE,43,8,41.75920991,-87.58321697,"(41.75920991, -87.58321697)"
134533,645 N Michigan Ave,60611,Commercial,"50,000 - 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.89392128,-87.6241737,"(41.89392128, -87.6241737)"
158724,2200 S Western Ave,60608,Commercial,"50,000 - 250,000 Sq Ft",2021,LOWER WEST SIDE,31,28,41.85133139,-87.68690376,"(41.85133139, -87.68690376)"
251730,1839 N Richmond St,60647,Municipal,"50,000 - 250,000 Sq Ft",2019,LOGAN SQUARE,22,1,41.91518928,-87.70007626,"(41.91518928, -87.70007626)"
251665,1518 W Granville Ave,60660,Municipal,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,48,41.99475547,-87.66823796,"(41.99475547, -87.66823796)"
173657,1 W WASHINGTON ST,60602,Residential,"50,000 - 250,000 Sq Ft",2021,LOOP,32,42,41.88319223,-87.62868858,"(41.88319223, -87.62868858)"
159310,2138 S Indiana Ave,60616,Residential,"> 250,000 Sq Ft",2019,NEAR SOUTH SIDE,33,3,41.85321746,-87.62304215,"(41.85321746, -87.62304215)"
254987,1325 N WELLS ST,60610,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,2,41.90656495,-87.63452711,"(41.90656495, -87.63452711)"
251623,5600 W Iowast,60651,Municipal,"50,000 - 250,000 Sq Ft",2019,AUSTIN,25,29,41.896696,-87.765572,"(41.896696, -87.765572)"
236480,5855 N Sheridan Rd,60660,Residential,"> 250,000 Sq Ft",2021,EDGEWATER,77,48,41.988847,-87.65469653,"(41.988847, -87.65469653)"
103626,151 N Franklin St,60606,Commercial,"> 250,000 Sq Ft",2019,LOOP,32,42,41.88455237,-87.63533591,"(41.88455237, -87.63533591)"
251420,5516 S Maplewood Ave,60629,Municipal,"50,000 - 250,000 Sq Ft",2019,GAGE PARK,63,15,41.79329756,-87.68837684,"(41.79329756, -87.68837684)"
158061,5700 N ASHLAND AVE,60660,Commercial,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,40,41.98552836,-87.67026391,"(41.98552836, -87.67026391)"
251564,5740 S Michigan Ave,60637,Municipal,"50,000 - 250,000 Sq Ft",2019,WASHINGTON PARK,40,20,41.78972345,-87.6232775,"(41.78972345, -87.6232775)"
119405,226 W ONTARIO ST,60654,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89320603,-87.63490429,"(41.89320603, -87.63490429)"
164980,5400 N St Louis Ave,60625,Commercial,"50,000 - 250,000 Sq Ft",2019,NORTH PARK,13,39,41.97980527,-87.71769331,"(41.97980527, -87.71769331)"
158287,320 N Dearborn Ave,60654,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.907571,-87.630092,"(41.907571, -87.630092)"
251700,4540 N Hamlin Ave,60625,Municipal,"50,000 - 250,000 Sq Ft",2019,ALBANY PARK,14,35,41.96372502,-87.72366402,"(41.96372502, -87.72366402)"
101770,10 S Wacker Dr,60606,Commercial,"> 250,000 Sq Ft",2019,LOOP,32,42,41.8816073,-87.63751717,"(41.8816073, -87.63751717)"
255148,810 W. Grace St.,60613,Residential,"> 250,000 Sq Ft",2021,Lake View,6,46,41.9544929,-87.6502935,"(41.9544929, -87.6502935)"
251421,7350 W Pratt Ave,60631,Municipal,"50,000 - 250,000 Sq Ft",2019,EDISON PARK,9,41,42.00463823,-87.81082652,"(42.00463823, -87.81082652)"
253986,430 W Erie St,60654,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.8915802,-87.63784,"(41.8915802, -87.63784)"
251508,620 N Sawyer Ave,60624,Commercial,"50,000 - 250,000 Sq Ft",2019,HUMBOLDT PARK,23,27,41.89229745,-87.70807059,"(41.89229745, -87.70807059)"
251625,3252 N Broadway Ave,60657,Municipal,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,44,41.9415879,-87.64474893,"(41.9415879, -87.64474893)"
103661,980 N Michigan Ave,60611,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.90055628,-87.62421483,"(41.90055628, -87.62421483)"
244592,1901 S Calumet Ave,60616,Residential,"> 250,000 Sq Ft",2020,NEAR SOUTH SIDE,33,3,41.85622196,-87.61864082,"(41.85622196, -87.61864082)"
113538,1251 1259 N STATE PKWY,60610,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,43,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
242048,3550 N Lake Shore Dr,60657,Residential,"> 250,000 Sq Ft",2021,LAKE VIEW,6,46,41.94795804,-87.64383164,"(41.94795804, -87.64383164)"
152061,2606 N ELSTON AVE,60647,Residential,"50,000 - 250,000 Sq Ft",2019,LOGAN SQUARE,22,1,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
134914,401 W ONTARIO ST,60654,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89309853,-87.63870784,"(41.89309853, -87.63870784)"
116144,633 S PLYMOUTH CT,60605,Residential,"50,000 - 250,000 Sq Ft",2021,LOOP,32,4,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
243692,5445 N Sheridan Rd,60640,Residential,"> 250,000 Sq Ft",2019,EDGEWATER,77,48,41.98108553,-87.65453412,"(41.98108553, -87.65453412)"
238799,6030 N Sheridan Rd,60660,Residential,"> 250,000 Sq Ft",2021,EDGEWATER,77,48,41.99162081,-87.65589517,"(41.99162081, -87.65589517)"
100947,7131 7143 S YATES BLVD,60649,Residential,"50,000 - 250,000 Sq Ft",2021,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
251441,4747 S Marshfield Ave,60609,Municipal,"50,000 - 250,000 Sq Ft",2019,NEW CITY,61,20,41.80741267,-87.66571643,"(41.80741267, -87.66571643)"
113146,4101 4115 S MICHIGAN AVE,60653,Residential,"50,000 - 250,000 Sq Ft",2019,GRAND BOULEVARD,38,3,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
156711,20 N Michigan Ave,60602,Commercial,"50,000 - 250,000 Sq Ft",2019,LOOP,32,42,41.8826441,-87.62495613,"(41.8826441, -87.62495613)"
160294,1629 S Prairie Ave,60616,Residential,"> 250,000 Sq Ft",2021,NEAR SOUTH SIDE,33,3,41.85950051,-87.62036992,"(41.85950051, -87.62036992)"
131428,217 235 W HURON ST,60654,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89198218,-87.63699623,"(41.89198218, -87.63699623)"
159738,4100 N Marine Dr,60613,Residential,"> 250,000 Sq Ft",2021,UPTOWN,3,46,41.95588646,-87.64627434,"(41.95588646, -87.64627434)"
159044,838 N Noble St,60642,Municipal,"> 250,000 Sq Ft",2019,WEST TOWN,24,1,41.89750905,-87.66328018,"(41.89750905, -87.66328018)"
255943,1640 W Division St,60622,Residential,"50,000 - 250,000 Sq Ft",2019,WEST TOWN,24,1,41.90422,-87.67412,"(41.90422, -87.67412)"
251608,4418 S Sacramento,60632,Municipal,"50,000 - 250,000 Sq Ft",2019,BRIGHTON PARK,58,15,41.813268,-87.699299,"(41.813268, -87.699299)"
238850,100 E Bellevue Pl,60611,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.90191981,-87.62566874,"(41.90191981, -87.62566874)"
251588,9912 S Avenue H,60617,Municipal,"50,000 - 250,000 Sq Ft",2019,EAST SIDE,52,10,41.71516268,-87.5337866,"(41.71516268, -87.5337866)"
164090,2258 N Clybourn Ave,60614,Commercial,"50,000 - 250,000 Sq Ft",2021,LINCOLN PARK,7,2,41.92285815,-87.66661993,"(41.92285815, -87.66661993)"
